Word,Document Frequency,Term Frequency,Postings
analysi,119,157,"['ADM 2337', 'ADM 2341', 'ADM 3308', 'ADM 3317', 'ADM 3321', 'ADM 3323', 'ADM 3337', 'ADM 3346', 'ADM 3351', 'ADM 3993', 'ADM 3994', 'ADM 3998', 'ADM 4103', 'ADM 4307', 'ADM 4311', 'ADM 4326', 'ADM 4350', 'ADM 4356', 'ADM 4379', 'ADM 4994', 'ADM 5331', 'ADM 5341', 'ADM 5342', 'ADM 5350', 'ADM 5351', 'ADM 5360', 'ADM 5380', 'ADM 6261', 'ADM 6279', 'ADM 6301', 'ADM 6302', 'ADM 6315', 'ADM 6320', 'ADM 6323', 'ADM 6342', 'ADM 6350', 'ADM 6381', 'PSY 2116', 'PSY 3124', 'PSY 3307', 'PSY 3377', 'PSY 4327', 'PSY 5103', 'PSY 5105', 'PSY 5113', 'PSY 5114', 'PSY 5120', 'PSY 5121', 'PSY 6114', 'PSY 6117', 'PSY 6123', 'PSY 6134', 'PSY 6146', 'PSY 6168', 'PSY 6903', 'PSY 6906', 'PSY 6923', 'PSY 6931', 'PSY 6946', 'PSY 6964', 'PSY 7101', 'PSY 7167', 'MAT 1320', 'MAT 1325', 'MAT 1332', 'MAT 1373', 'MAT 2342', 'MAT 2377', 'MAT 2384', 'MAT 3341', 'MAT 3373', 'MAT 3375', 'MAT 3377', 'MAT 3378', 'MAT 3380', 'MAT 4162', 'MAT 4175', 'MAT 4183', 'MAT 4373', 'MAT 4375', 'MAT 5107', 'MAT 5160', 'MAT 5174', 'MAT 5180', 'MAT 5182', 'MAT 5185', 'MAT 5193', 'MAT 5198', 'MAT 5317', 'MAT 5343', 'MAT 5375', 'MAT 5992', 'CSI 2101', 'CSI 2110', 'CSI 3105', 'CSI 4109', 'CSI 4115', 'CSI 4133', 'CSI 4139', 'CSI 4141', 'CSI 4142', 'CSI 4150', 'CSI 5102', 'CSI 5118', 'CSI 5121', 'CSI 5124', 'CSI 5126', 'CSI 5127', 'CSI 5135', 'CSI 5136', 'CSI 5152', 'CSI 5154', 'CSI 5163', 'CSI 5164', 'CSI 5169', 'CSI 5173', 'CSI 5174', 'CSI 5180', 'CSI 5387']"
analyt,21,27,"['ADM 3305', 'ADM 3308', 'ADM 3316', 'ADM 3363', 'ADM 4307', 'ADM 4311', 'ADM 4363', 'ADM 4377', 'ADM 4964', 'ADM 6275', 'ADM 6287', 'PSY 6105', 'PSY 7101', 'MAT 3121', 'MAT 4154', 'MAT 4167', 'MAT 5149', 'CSI 4140', 'CSI 4142', 'CSI 5131', 'CSI 5153']"
analyz,5,5,"['ADM 3318', 'ADM 3379', 'MAT 1371', 'MAT 2379', 'MAT 3379']"
ancestor,1,1,['CSI 5121']
ancient,1,1,['MAT 1395']
andor,7,8,"['ADM 2303', 'ADM 3994', 'ADM 4322', 'ADM 4325', 'ADM 6261', 'MAT 9998', 'CSI 5180']"
angl,1,1,['MAT 1318']
anim,5,10,"['PSY 4174', 'PSY 6151', 'PSY 6951', 'CSI 5147', 'CSI 5151']"
annihil,1,1,['MAT 3143']
anomali,2,2,"['CSI 4142', 'CSI 5387']"
anonym,1,1,['CSI 5105']
anoth,1,1,['MAT 6997']
anova,1,1,['MAT 5193']
answer,2,4,"['PSY 6144', 'PSY 6941']"
anteced,1,1,['PSY 7124']
anthropomorph,1,1,['CSI 5151']
anticip,2,2,"['PSY 6123', 'PSY 6923']"
antideriv,2,2,"['MAT 1320', 'MAT 1330']"
anxieti,1,1,['PSY 7123']
apec,1,1,['ADM 3318']
aphasia,2,2,"['PSY 5125', 'PSY 5924']"
appli,22,24,"['ADM 3323', 'ADM 3349', 'ADM 3357', 'ADM 4325', 'ADM 4341', 'ADM 4357', 'ADM 4363', 'ADM 6322', 'PSY 5133', 'PSY 6002', 'PSY 6144', 'PSY 6167', 'PSY 6941', 'PSY 6963', 'PSY 7101', 'PSY 7102', 'MAT 3343', 'MAT 3395', 'MAT 4996', 'MAT 5996', 'CSI 2101', 'CSI 5127']"
applianc,2,2,"['ADM 6275', 'ADM 6287']"
applic,103,120,"['ADM 1370', 'ADM 2302', 'ADM 2303', 'ADM 2372', 'ADM 3308', 'ADM 3321', 'ADM 3993', 'ADM 4326', 'ADM 4377', 'ADM 4378', 'ADM 5300', 'ADM 5330', 'ADM 6275', 'ADM 6287', 'ADM 6321', 'ADM 6350', 'ADM 6365', 'PSY 2106', 'PSY 2116', 'PSY 3306', 'PSY 4310', 'PSY 5121', 'PSY 6105', 'PSY 6107', 'PSY 6134', 'PSY 6151', 'PSY 6152', 'PSY 6158', 'PSY 6931', 'PSY 6951', 'PSY 6952', 'PSY 6958', 'PSY 7101', 'MAT 1300', 'MAT 1302', 'MAT 1308', 'MAT 1318', 'MAT 1322', 'MAT 1330', 'MAT 1339', 'MAT 1341', 'MAT 1348', 'MAT 1372', 'MAT 1373', 'MAT 1374', 'MAT 2122', 'MAT 2322', 'MAT 2342', 'MAT 3155', 'MAT 3320', 'MAT 3341', 'MAT 3348', 'MAT 3395', 'MAT 4157', 'MAT 4183', 'MAT 4371', 'MAT 4372', 'MAT 4374', 'MAT 4378', 'MAT 5152', 'MAT 5182', 'MAT 5185', 'MAT 5191', 'MAT 5198', 'MAT 5317', 'CSI 1306', 'CSI 1308', 'CSI 1390', 'CSI 2101', 'CSI 2120', 'CSI 2132', 'CSI 2372', 'CSI 4108', 'CSI 4109', 'CSI 4118', 'CSI 4139', 'CSI 5101', 'CSI 5110', 'CSI 5112', 'CSI 5128', 'CSI 5129', 'CSI 5131', 'CSI 5135', 'CSI 5139', 'CSI 5142', 'CSI 5148', 'CSI 5149', 'CSI 5153', 'CSI 5161', 'CSI 5163', 'CSI 5164', 'CSI 5166', 'CSI 5167', 'CSI 5168', 'CSI 5169', 'CSI 5175', 'CSI 5180', 'CSI 5183', 'CSI 5185', 'CSI 5380', 'CSI 5386', 'CSI 5387', 'CSI 5390']"
appoint,1,1,['MAT 6997']
apprais,6,6,"['ADM 2337', 'ADM 4338', 'ADM 5331', 'ADM 6335', 'PSY 6123', 'PSY 6923']"
appreci,1,1,['ADM 2341']
approach,30,32,"['ADM 1100', 'ADM 1300', 'ADM 2302', 'ADM 2336', 'ADM 2341', 'ADM 3318', 'ADM 3993', 'ADM 4319', 'ADM 4328', 'ADM 6324', 'ADM 6377', 'PSY 1102', 'PSY 3136', 'PSY 3174', 'PSY 5120', 'PSY 5424', 'PSY 6107', 'PSY 6182', 'PSY 6982', 'MAT 3361', 'MAT 5192', 'CSI 4107', 'CSI 5100', 'CSI 5111', 'CSI 5136', 'CSI 5314', 'CSI 5380', 'CSI 5386', 'CSI 5387', 'CSI 9997']"
approch,1,3,['PSY 5824']
appropri,4,4,"['ADM 4307', 'PSY 5133', 'PSY 6132', 'PSY 6932']"
approv,7,14,"['ADM 4904', 'ADM 4905', 'PSY 4110', 'PSY 4276', 'PSY 4310', 'MAT 6997', 'CSI 9998']"
approx,1,1,['MAT 6997']
approxim,11,12,"['PSY 6002', 'MAT 1308', 'MAT 1318', 'MAT 1320', 'MAT 2342', 'MAT 3101', 'MAT 3120', 'MAT 3380', 'MAT 4167', 'MAT 5133', 'MAT 5198']"
apraxia,2,2,"['PSY 5125', 'PSY 5924']"
aptitud,2,2,"['PSY 3307', 'PSY 4127']"
arbitrag,3,3,"['ADM 2352', 'ADM 3352', 'ADM 6357']"
architectur,13,14,"['PSY 5105', 'CSI 3140', 'CSI 4118', 'CSI 4140', 'CSI 5100', 'CSI 5131', 'CSI 5151', 'CSI 5161', 'CSI 5174', 'CSI 5175', 'CSI 5311', 'CSI 5312', 'CSI 5380']"
area,23,31,"['ADM 1370', 'ADM 2302', 'ADM 4326', 'ADM 4378', 'ADM 4998', 'ADM 4999', 'ADM 6277', 'ADM 6392', 'ADM 6901', 'PSY 5424', 'PSY 6002', 'PSY 6042', 'MAT 1339', 'MAT 3395', 'MAT 5105', 'MAT 5107', 'CSI 4103', 'CSI 4104', 'CSI 4105', 'CSI 5101', 'CSI 5169', 'CSI 5180', 'CSI 9998']"
argument,2,2,"['MAT 1348', 'CSI 3105']"
aris,3,3,"['ADM 1101', 'ADM 1301', 'CSI 5154']"
arithmet,6,6,"['MAT 2143', 'MAT 3166', 'MAT 4167', 'MAT 5161', 'MAT 5180', 'CSI 5106']"
arma,1,1,['MAT 3379']
arriv,1,1,['ADM 3345']
art,3,3,"['ADM 1100', 'ADM 1300', 'MAT 1308']"
articl,1,2,['PSY 6042']
articul,1,1,['ADM 3379']
artifici,4,5,"['CSI 4106', 'CSI 4107', 'CSI 5180', 'CSI 5183']"
artin,2,2,"['MAT 4141', 'MAT 5141']"
artinian,2,2,"['MAT 4141', 'MAT 5141']"
ascertain,1,1,['ADM 4339']
aspect,27,28,"['ADM 3319', 'ADM 6322', 'PSY 2301', 'PSY 3101', 'PSY 3108', 'PSY 3306', 'PSY 4110', 'PSY 6166', 'PSY 6176', 'PSY 6201', 'PSY 6202', 'PSY 6962', 'PSY 6975', 'PSY 7108', 'PSY 7109', 'PSY 7908', 'PSY 7909', 'MAT 1374', 'MAT 2348', 'MAT 4900', 'CSI 4107', 'CSI 4134', 'CSI 5111', 'CSI 5113', 'CSI 5116', 'CSI 5169', 'CSI 5173']"
assembl,2,2,"['CSI 4126', 'CSI 9998']"
assert,3,3,"['ADM 3349', 'PSY 5158', 'PSY 5958']"
assess,25,36,"['ADM 3363', 'ADM 3378', 'ADM 4318', 'ADM 6274', 'ADM 6286', 'ADM 6302', 'ADM 6325', 'PSY 3126', 'PSY 3171', 'PSY 4372', 'PSY 5202', 'PSY 6107', 'PSY 6113', 'PSY 6134', 'PSY 6143', 'PSY 6176', 'PSY 6931', 'PSY 6975', 'PSY 7103', 'PSY 7108', 'PSY 7109', 'PSY 7908', 'PSY 7909', 'CSI 5118', 'CSI 5153']"
asset,8,8,"['ADM 2342', 'ADM 3352', 'ADM 5341', 'ADM 5350', 'ADM 6342', 'ADM 6350', 'ADM 6351', 'ADM 6357']"
assign,5,5,"['PSY 6144', 'PSY 6941', 'MAT 5162', 'MAT 5996', 'CSI 5180']"
assist,1,1,['CSI 4141']
associ,16,16,"['ADM 3308', 'ADM 6274', 'ADM 6286', 'ADM 6377', 'PSY 2301', 'PSY 4180', 'PSY 5125', 'PSY 5924', 'PSY 6107', 'PSY 6115', 'PSY 6133', 'PSY 6904', 'PSY 6930', 'PSY 7101', 'MAT 5317', 'CSI 5387']"
assumpt,4,4,"['PSY 5120', 'PSY 5125', 'PSY 5924', 'CSI 4108']"
assur,2,3,"['ADM 4341', 'ADM 5380']"
asymmetri,1,1,['ADM 2352']
asymptot,6,7,"['MAT 5107', 'MAT 5131', 'MAT 5176', 'MAT 5185', 'MAT 5190', 'CSI 3105']"
asynchron,1,1,['CSI 4109']
ateli,1,3,['PSY 5824']
atm,1,1,['CSI 5173']
atom,1,1,['CSI 5311']
attach,1,1,['PSY 6102']
attack,2,2,"['CSI 4139', 'CSI 5105']"
attain,1,1,['ADM 4311']
attend,3,3,"['ADM 3357', 'ADM 4336', 'ADM 4357']"
attent,14,14,"['ADM 3322', 'ADM 3346', 'ADM 6326', 'PSY 3128', 'PSY 4173', 'PSY 5105', 'PSY 5120', 'PSY 6114', 'PSY 6147', 'PSY 6903', 'PSY 6947', 'MAT 1325', 'MAT 5160', 'CSI 5136']"
attentionneglect,2,2,"['PSY 5125', 'PSY 5924']"
attitud,4,4,"['ADM 4317', 'ADM 6322', 'PSY 2110', 'PSY 5113']"
attract,1,1,['PSY 2110']
attribut,2,2,"['ADM 6381', 'CSI 4125']"
atyp,1,1,['PSY 3136']
